project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
grpc-go,warm,Quantity,8,5,93.860652448,94.034284718,0.37782739,0.004017974838996957,85.525499999,0.9111965213152788,15.26,1.6258143963418788e-05,88.484606078,414.95764114,31.593470969980874,0.0,-71.52732909067686,-6.07568548732755,5,0,20260707-152705
grpc-go,warm,Round-Robin,8,5,137.21007889,137.280386364,0.704134388,0.005129169626118201,129.3775,0.9429154260870347,10.071,7.339839814591043e-06,88.484606078,414.95764114,0.0,-46.18487652854975,-150.74701424392515,-55.06660985646255,5,0,20260707-152705
hugo,cold,FFD-Multifit,2,5,2423.918955566,2465.503793877,94.548996456,0.038348753180104375,59.3965,0.024504325882517206,475.82,1.963019427309578e-05,1669.842296839,3294.183653532,-62.78184567822053,-60.362538967865156,-61.208762932287165,-45.158555400977804,5,0,20260706-123517
hugo,cold,LPT,2,5,1503.590072572,1499.333931519,53.352353096,0.035584036334019235,59.397,0.03950345315754653,34.84,2.3171209118455836e-06,1669.842296839,3294.183653532,-0.9758047374844724,0.5249242963159839,0.0,9.956163200663577,5,0,20260706-123517
hugo,cold,Quantity,2,5,1511.524431558,1554.427536319,60.216510863,0.038738705701004995,80.454999999,0.05322772051793513,9.16,6.060107140020458e-07,1669.842296839,3294.183653532,-1.5086482952481706,0.0,-0.5276942918642519,9.481007013697916,5,0,20260706-123517
hugo,cold,Round-Robin,2,5,1489.05975692,1525.012103807,54.50521867,0.035740843324413366,74.907,0.05030489854546811,7.009,4.7069971285084964e-07,1669.842296839,3294.183653532,0.0,1.486226366506344,0.9663748063423275,10.826324154156366,5,0,20260706-123517
hugo,cold,FFD-Multifit,4,5,2407.31264587,2360.872127172,106.893072013,0.045276942695343346,49.4185,0.020528492667864592,579.229,2.4061228648207734e-05,872.928812793,3294.183653532,-167.84233781556196,-108.01189835682723,-77.75330592732396,-175.77422243259744,5,0,20260706-123517
hugo,cold,LPT,4,5,1354.2997883,1341.548492741,46.678150716,0.0347942329096349,49.4185,0.03649007437417762,30.66,2.2639005237153815e-06,872.928812793,3294.183653532,-50.682057033061156,-17.022801501016676,0.0,-55.14435638420711,5,0,20260706-123517
hugo,cold,Quantity,4,5,1157.295647454,1157.643779649,40.098371262,0.03463791882003453,50.8295,0.04392092903124858,7.94,6.860822485133901e-07,872.928812793,3294.183653532,-28.76298900753291,0.0,14.546568089868185,-32.57617694519067,5,0,20260706-123517
hugo,cold,Round-Robin,4,5,898.779731951,915.832541944,25.137704691,0.02744792692956862,54.001,0.060082574272985544,7.98,8.878704888769184e-07,872.928812793,3294.183653532,0.0,22.33793206357629,33.635097655947845,-2.961400606687284,5,0,20260706-123517
